strain_name,s_label,species_id,collection_location
QG4003,5162.1,C. elegans,Bunya Mtns
QG4004,5177.1,,Bunya Mtns
QG4005,5177.2,C. elegans,Bunya Mtns
QG4006,5177.3,,Bunya Mtns
QG4007,5177.4,C. elegans,Bunya Mtns
QG4008,5177.5,,Bunya Mtns
QG4009,5177.6,C. elegans,Bunya Mtns
QG4010,5185.2,C. elegans,Tamborine
QG4011,5185.3,C. elegans,Tamborine
QG4012,5185.4,C. elegans,Tamborine
QG4013,5185.5,C. elegans,Tamborine
QG4014,5185.6,C. elegans,Tamborine
QG4015,5186.1,C. elegans,Tamborine
QG4016,5186.2,C. elegans,Tamborine
QG4017,5186.3,C. elegans,Tamborine
QG4018,5186.4,C. elegans,Tamborine
QG4019,5186.5,C. elegans,Tamborine
QG4020,5187.1,C. tribulationis,Tamborine
QG4021,5187.2,C. elegans,Tamborine
QG4022,5187.3,C. tribulationis,Tamborine
QG4023,5207.1,C. tribulationis,Imbil
QG4024,5207.2,C. tribulationis,Imbil
QG4025,5213,C. tribulationis,The Palms
QG4026,5250.1,C. briggsae,Woondum
QG4027,5250.2,C. briggsae,Woondum
QG4028,5250.3,C. briggsae,Woondum
QG4029,5250.4,C. briggsae,Woondum
QG4030,5250.5,C. briggsae,Woondum
QG4031,5250.6,C. briggsae,Woondum
QG4032,5254.1,C. tribulationis,Amamoor
QG4033,5295.1,C. tribulationis,Bartle Frere
QG4034,5295.2,C. tribulationis,Bartle Frere
QG4035,5295.3,C. tribulationis,Bartle Frere
QG4036,5297.1,C. tribulationis,Herberton
QG4037,5297.2,C. tribulationis,Herberton
QG4038,5297.3,C. tribulationis,Herberton
QG4039,5297.4,C. tribulationis,Herberton
QG4040,5297.5,,Herberton
QG4041,5303.1,C. tribulationis,Herberton
QG4042,5303.2,C. tribulationis,Herberton
QG4043,5303.3,C. tribulationis,Herberton
QG4044,5316.1,C. tribulationis,Bartle Frere
QG4045,5321.1,C. tribulationis,Bartle Frere
QG4046,5321.2,C. tribulationis,Bartle Frere
QG4047,5321.3,C. tribulationis,Bartle Frere
QG4048,5322.1,C. tribulationis,Bartle Frere
QG4049,5322.2,C. tribulationis,Bartle Frere
QG4050,5322.3,C. tribulationis,Bartle Frere
QG4051,5323.3,C. tribulationis,Bartle Frere
QG4052,5324.1,C. tribulationis,Bartle Frere
QG4053,5324.2,C. tribulationis,Bartle Frere
QG4054,5324.3,,Bartle Frere
QG4055,5324.5,C. tribulationis,Bartle Frere
QG4056,5341.1,C. tribulationis,Eungella
QG4057,5341.2,C. tribulationis,Eungella
QG4058,5341.3,C. briggsae,Eungella
QG4059,5344.1,C. briggsae,Eungella
QG4060,5344.2,C. briggsae,Eungella
QG4061,5344.3,C. briggsae,Eungella
QG4062,5344.4,C. briggsae,Eungella
QG4063,5344.5,C. briggsae,Eungella
QG4064,5345.1,C. briggsae,Eungella
QG4065,5345.2,C. briggsae,Eungella
QG4066,5345.3,,Eungella
QG4067,5345.4,C. briggsae,Eungella
QG4068,5345.5,C. briggsae,Eungella
QG4069,5345.6,C. briggsae,Eungella
QG4070,5346.1,C. briggsae,Eungella
QG4071,5346.2,,Eungella
QG4072,5346.3,,Eungella
QG4073,5346.4,C. briggsae,Eungella
QG4074,5346.5,C. briggsae,Eungella
QG4075,5346.6,C. briggsae,Eungella
QG4076,5363.1,C. elegans,Kroombit Tops
QG4077,5363.2,C. elegans,Kroombit Tops
QG4078,5363.3,C. elegans,Kroombit Tops
QG4079,5363.5,C. elegans,Kroombit Tops
QG4080,5363.6,C. elegans,Kroombit Tops
