strain,species,strain_lost,s_label,species2,location,spid_18s,spid_testcross,bleach_status
QG4181,C. tribulationis,0,C-5492.1, C. tribulationis, Tamborine, yes, no, frozen without bleaching
QG4182,C. elegans,0,C-5492.2, C. elegans, Tamborine, yes, no, frozen without bleaching
QG4183,C. tribulationis,0,C-5492.3, C. tribulationis, Tamborine, yes, no, frozen without bleaching
QG4184,C. elegans,0,C-5492.4, C. elegans, Tamborine, yes, no, frozen without bleaching
QG4185,C. elegans,0,C-5492.5, C. elegans, Tamborine, yes, no, frozen without bleaching
QG4186,C. elegans,0,C-5492.6, C. elegans, Tamborine, yes, no, frozen without bleaching
QG4187,C. tribulationis,0,C-5496.2, C. tribulationis, Tamborine, yes, no, frozen without bleaching
QG4188,C. tribulationis,0,C-5496.3, C. tribulationis, Tamborine, yes, no, frozen without bleaching
QG4189,C. tribulationis,0,C-5497.1, C. tribulationis, Tamborine, yes, no, frozen without bleaching
QG4190,C. tribulationis,0,C-5497.2, C. tribulationis, Tamborine, yes, no, frozen without bleaching
QG4191,C. tribulationis,0,C-5497.3, C. tribulationis, Tamborine, yes, no, frozen without bleaching
QG4192,C. tribulationis,0,C-5497.4, C. tribulationis, Tamborine, yes, no, frozen without bleaching
QG4193,C. elegans,0,C-5498.1, C. elegans, Tamborine, no, yes,
QG4194,C. elegans,0,C-5498.2, C. elegans, Tamborine, no, yes,
QG4230,C. tribulationis,0,C-5508.1a, C. tribulationis, Springbrook, yes, no, frozen without bleaching
QG4195,C. tribulationis,0,C-5508.3, C. tribulationis, Springbrook, no, yes,
QG4196,C. tribulationis,0,C-5511.1, C. tribulationis, Tamborine, yes, no, frozen without bleaching
QG4197,C. tribulationis - lost,1,C-5511.3, C. tribulationis, Tamborine, yes, no,
QG4198,C. tribulationis,0,C-5511.4, C. tribulationis, Tamborine, yes, no, frozen without bleaching
QG4199,C. tribulationis,0,C-5512.2, C. tribulationis, Tamborine, yes, yes,
QG4200,C. tribulationis,0,C-5512.3, C. tribulationis, Tamborine, yes, yes,
QG4201,C. tribulationis,0,C-5512.4, C. tribulationis, Tamborine, yes, no,
QG4202,C. tribulationis,0,C-5512.5, C. tribulationis, Tamborine, no, yes,
